Regiao;Estado;UF;Governador;TotalCasos;TotalObitos
Norte;Rondônia;RO;MARCOS JOSE ROCHA DOS SANTOS;130772;2680;
Norte;Acre;AC;GLADSON DE LIMA CAMELI;55770;1314;
Norte;Amazonas;AM;WILSON MIRANDA LIMA;273416;8062;
Norte;Roraima;RR;ANTONIO OLIVERIO GARCIA DE ALMEIDA;99936;1274;
Norte;Pará;PA;HELDER ZAHLUTH BARBALHO;456136;13102;
Norte;Amapá;AP;ANTONIO WALDEZ GÓES DA SILVA;95870;1408;
Norte;Tocantins;TO;MAURO CARLESSE;133730;1844;
Nordeste;Maranhão;MA;FLÁVIO DINO DE CASTRO E COSTA;344352;7470;
Nordeste;Piauí;PI;JOSÉ WELLINGTON BARROSO DE ARAÚJO DIAS;189466;4202;
Nordeste;Ceará;CE;CAMILO SOBREIRA DE SANTANA;478124;17842;
Nordeste;Rio Grande do Norte;RN;MARIA DE FATIMA BEZERRA;137530;4754;
Nordeste;Paraíba;PB;JOÃO AZEVEDO LINS FILHO;239974;5608;
Nordeste;Pernambuco;PE;PAULO HENRIQUE SARAIVA CÂMARA;290192;16380;
Nordeste;Alagoas;AL;JOSE RENAN VASCONCELOS CALHEIROS FILHO;172786;4124;
Nordeste;Sergipe;SE;BELIVALDO CHAGAS SILVA;154344;4050;
Nordeste;Bahia;BA;RUI COSTA DOS SANTOS;613258;13296;
Sudeste;Minas Gerais;MG;ROMEU ZEMA NETO;580274;14480;
Sudeste;Espírito Santo;ES;JOSE RENATO CASAGRANDE;259592;7048;
Sudeste;Rio de Janeiro;RJ;WILSON JOSÉ WITZEL;524012;36582;
Sudeste;São Paulo;SP;JOÃO AGRIPINO DA COSTA DORIA JUNIOR;1946284;70250;
Sul;Paraná;PR;CARLOS ROBERTO MASSA JUNIOR;351964;8756;
Sul;Santa Catarina;SC;CARLOS MOISÉS DA SILVA;426132;5530;
Sul;Rio Grande do Sul;RS;EDUARDO FIGUEIREDO CAVALHEIRO LEITE;371556;9296;
Centro-Oeste;Mato Grosso do Sul;MS;REINALDO AZAMBUJA SILVA;136650;2556;
Centro-Oeste;Mato Grosso;MT;MAURO MENDES FERREIRA;242290;6744;
Centro-Oeste;Goiás;GO;RONALDO RAMOS CAIADO;405508;9058;
Centro-Oeste;Distrito Federal;DF;IBANEIS ROCHA BARROS JUNIOR;381010;6406;
